MOF_no,ethane_avg(mol/kg),ethylene_avg(mol/kg),C2H6/C2H4 Selectivity (1Bar),TSN,oms,Df,AV_Volume_fraction_1.9,channel_dimentionality
ddmof_8796,0.178057,0.895762,1.78899417479196,0.044978787616525,6,5.67018,0.26488,3
ddmof_8797,0.195428,0.92334,1.90488010916889,0.054693974499684,1,4.9725,0.11934,3
ddmof_8798,0.084731,0.4043,1.88617116002968,0.023350262193466,1,5.78583,0.24208,3
ddmof_8799,0.31188,1.514667,1.85315980344194,0.083556666341371,6,7.00414,0.21236,3
ddmof_88,0.180823,0.926652,1.75622240064231,0.044225601149948,13,8.09642,0.40874,3
ddmof_880,0.13846,0.723682,1.72194416884764,0.032679199888821,20,8.27288,0.4473,3
ddmof_8800,0.135741,0.740923,1.64884745108466,0.029480295158752,3,8.41192,0.3504,3
ddmof_8801,0.107002,0.654386,1.47163600688279,0.017954978965746,3,11.63584,0.4946,3
ddmof_8802,0.233958,1.151417,1.82872234820226,0.061331568509532,8,4.81591,0.08738,3
ddmof_8803,0.128611,0.699243,1.65536015376629,0.028151982940744,6,9.72046,0.42844,3
ddmof_8804,0.24834,1.147512,1.94774433731412,0.071902364561476,5,4.22123,0.09626,2
ddmof_8805,0.094745,0.552552,1.54321222256005,0.017852388621541,5,8.04526,0.3817,3
ddmof_8806,0.077504,0.412424,1.69130797431769,0.017688171871127,3,8.07489,0.3969,3
ddmof_8807,0.131725,0.732567,1.61831614036668,0.027538871835075,11,9.72944,0.44176,3
ddmof_8808,0.231896,1.131012,1.84530668109622,0.061700233432677,3,4.43788,0.10788,3
ddmof_8809,0.1322,0.690333,1.72351604225787,0.0312541066416,7,10.48355,0.50814,3
ddmof_881,0.115013,0.556633,1.8596040838398,0.030986858961014,43,13.88987,0.41466,3
ddmof_8810,0.15227,0.794536,1.72481800698773,0.036048898870473,11,8.30569,0.37666,3
ddmof_8811,0.161802,0.791741,1.83926056627104,0.042819808702286,2,4.99323,0.1825,3
ddmof_8812,0.204703,1.028951,1.79049050926623,0.051784132089304,4,6.03826,0.17012,3
ddmof_8813,0.160203,0.867706,1.66165383205832,0.035331258284658,3,8.58225,0.38316,3
ddmof_8814,0.062754,0.346896,1.62811332503113,0.013284057316635,4,5.68363,0.17092,3
ddmof_8815,0.134586,0.750374,1.61422703878333,0.027989126023734,2,9.44928,0.4199,3
ddmof_8816,0.078449,0.407476,1.73271800056936,0.018727964018584,7,7.04027,0.26738,3
ddmof_8817,0.254015,1.229138,1.85994981849068,0.068457354200815,3,5.27789,0.15546,3
ddmof_8818,0.175373,0.981354,1.60834622368687,0.036193399716978,4,8.43489,0.39086,3
ddmof_8819,0.234496,1.225085,1.72270822024594,0.055390704910593,3,8.4019,0.42762,3
ddmof_882,0.102342,0.536747,1.71603753723821,0.024001940080469,243,6.23988,0.1587,3
ddmof_8820,0.223893,1.144597,1.76047726841849,0.054994932018729,9,6.4161,0.2359,3
ddmof_8821,0.121963,0.655428,1.67473315146744,0.027313079322355,27,5.95069,0.2867,3
ddmof_8822,0.104783,0.439991,2.14333247725522,0.034692555766604,2,19.12796,0.57686,3
ddmof_8823,0.228045,1.172668,1.75020125048181,0.055435000633876,6,8.08059,0.28024,3
ddmof_8824,0.185469,0.93091,1.79310674501294,0.047036077961172,7,7.86339,0.37496,3
ddmof_8825,0.267402,1.223249,1.96739829748481,0.078587386459609,4,4.40575,0.12416,2
ddmof_8826,0.117774,0.651643,1.62660536520764,0.024883549875415,14,9.79518,0.43094,3
ddmof_8827,0.155129,0.821505,1.69951613197729,0.035730132114908,11,7.35409,0.35158,3
ddmof_8828,0.15757,0.868633,1.63259972853898,0.033543457472673,3,7.8828,0.38222,3
ddmof_8829,0.171997,0.912941,1.69558930971443,0.039442467240468,9,9.15821,0.31632,3
ddmof_883,0.231928,1.219943,1.71102420358984,0.054098633046611,12,7.58007,0.35582,3
ddmof_8830,0.151245,0.708827,1.9203627965639,0.042860304748595,8,3.50013,0.06736,0
ddmof_8831,0.095222,0.555205,1.54357039291793,0.01795186465222,3,10.92957,0.49778,3
ddmof_8832,0.166159,0.815714,1.83327857557919,0.04373777820547,7,4.58466,0.11498,3
ddmof_8833,0.212325,0.95564,1.99962852120045,0.063899064915794,4,4.18419,0.09598,1
ddmof_8834,0.129757,0.772831,1.5110845708829,0.023263973082282,11,10.37799,0.52346,3
ddmof_8835,0.153962,0.834704,1.66005913473519,0.033890663357206,8,7.64678,0.39818,3
ddmof_8836,0.166908,0.970298,1.54815530898755,0.031681562973524,18,13.06596,0.45258,3
ddmof_8837,0.105525,0.633592,1.49895358527254,0.018550048246938,4,8.52229,0.44754,3
ddmof_8838,0.199428,1.005256,1.78546758238697,0.050206391751181,3,6.96906,0.32038,3
ddmof_8839,0.142391,0.76192,1.68196004829903,0.032154119887248,4,8.45152,0.42292,3
ddmof_884,0.087781,0.474968,1.6633310033518,0.019397729732721,21,12.37982,0.62852,3
ddmof_8840,0.06911,0.392718,1.5838082288054,0.013801446343763,5,10.75667,0.48056,3
ddmof_8841,0.164498,0.908761,1.62912140815902,0.034865918741027,8,7.97418,0.3957,3
