MOF_no,propane_avg(mol/kg),propylene_avg(mol/kg),C3H8/C3H6 Selectivity (1Bar),TSN,oms,Df,AV_Volume_fraction_1.9,channel_dimentionality
ddmof_3393,0.507133,2.00546,1.43296483932198,0.079232195184917,4,7.45158,0.26056,3
ddmof_3394,0.416767,1.657927,1.42447747498332,0.064038577696332,4,5.40769,0.14414,3
ddmof_3395,0.308011,1.313338,1.32897674982881,0.038044712691487,4,10.75605,0.53426,3
ddmof_3396,0.569319,2.252075,1.43251934327232,0.08887097768238,4,5.76085,0.18144,2
ddmof_3397,0.732239,2.97303,1.39566514072624,0.1060144640545,4,8.42556,0.3577,3
ddmof_3398,0.421311,1.771009,1.34806147230195,0.05464812202821,4,8.79374,0.38174,3
ddmof_3399,0.649194,2.640981,1.39295436051982,0.093442963553518,4,8.01436,0.30564,3
ddmof_34,0.473163,1.969372,1.36147817679951,0.063408897464753,20,9.40686,0.41872,3
ddmof_340,0.324127,1.28131,1.43347017245371,0.050689787396746,43,10.72474,0.495,3
ddmof_3400,0.362504,1.424861,1.44167700100805,0.057590274682382,4,8.88044,0.31302,3
ddmof_3401,0.299224,1.281587,1.32304920904056,0.036378456272524,4,13.0595,0.59972,3
ddmof_3402,0.183602,0.708281,1.46892452760039,0.030661439002798,4,10.55889,0.57168,3
ddmof_3403,0.254922,1.050423,1.37521550841899,0.035273751207375,4,9.08216,0.49774,3
ddmof_3404,0.270785,1.164697,1.31746568706997,0.032423609866638,4,11.12511,0.56542,3
ddmof_3405,0.224016,0.785834,1.61538441961025,0.046657131727946,4,11.37043,0.61106,3
ddmof_3406,0.351682,1.372564,1.45192841038135,0.0569532129933,0,8.45482,0.3415,3
ddmof_3407,0.32092,1.330342,1.3669768124788,0.043568467569278,4,8.254,0.32218,3
ddmof_3408,0.361213,1.31998,1.55068536391966,0.068819632854307,4,8.35458,0.2955,3
ddmof_3409,0.455513,1.857916,1.38932025631586,0.065048334955279,4,11.65926,0.42684,3
ddmof_341,0.272806,1.191809,1.29710437382724,0.030820237055008,21,11.94926,0.5814,3
ddmof_3410,0.286884,1.162596,1.39831549394631,0.041771793547656,4,10.60616,0.49458,3
ddmof_3411,0.337901,1.393737,1.37384049740613,0.046608818488249,4,8.79188,0.34112,3
ddmof_3412,0.524892,2.068634,1.43785125836663,0.082782796857304,4,6.78828,0.2804,3
ddmof_3413,0.396779,1.608519,1.39781645932273,0.057711565065254,4,8.002,0.31698,3
ddmof_3414,0.881822,3.559736,1.40375334949933,0.129884272724556,4,5.47226,0.196,3
ddmof_3415,0.567912,2.259995,1.42397129197188,0.087175192677589,4,8.02093,0.3256,3
ddmof_3416,0.285539,1.082991,1.49406073857801,0.049788936697581,4,13.50622,0.6486,3
ddmof_3417,0.412198,1.745441,1.33822264210974,0.052154742569143,4,13.00047,0.57826,3
ddmof_3418,0.887081,3.442314,1.46029453830572,0.145872008490204,4,8.43906,0.36508,3
ddmof_3419,0.622381,2.475398,1.42475095587322,0.095684205806894,4,5.4037,0.17106,3
ddmof_342,0.425261,1.867909,1.29011227706132,0.047045564729803,19,7.74792,0.3956,3
ddmof_3420,0.297661,1.246449,1.35324081985438,0.039105240544349,4,11.40827,0.5799,3
ddmof_3421,0.587386,2.296647,1.44929571965856,0.09466137122053,4,5.60559,0.16548,3
ddmof_3422,0.380917,1.605159,1.34474507925175,0.049001149078614,4,7.38425,0.25532,3
ddmof_3423,0.247457,1.020737,1.37376849603114,0.034127674007809,4,5.76486,0.13814,3
ddmof_3424,0.770733,3.215304,1.358343410141,0.102514872746829,4,12.01659,0.5168,3
ddmof_3425,0.270928,1.07125,1.43314694671334,0.042343532935764,4,12.13314,0.5141,3
ddmof_3426,0.309879,1.237298,1.41920620578066,0.04711570797069,4,9.93449,0.54952,3
ddmof_3427,0.21801,0.887956,1.3912738919496,0.031265388648357,4,10.48573,0.51232,3
ddmof_3428,0.588078,2.514564,1.32525638639542,0.071921883981685,8,6.58714,0.3385,3
ddmof_3429,0.439469,1.845234,1.34959811781776,0.057220825547375,4,9.41491,0.38486,3
ddmof_343,0.284188,1.238126,1.30067429863089,0.03244533434712,21,9.10055,0.48674,3
ddmof_3430,0.351006,1.415549,1.40513256694046,0.051849658462279,4,8.3155,0.256,3
ddmof_3431,0.324374,1.334069,1.37782928269327,0.045151372077853,4,10.78468,0.4942,3
ddmof_3432,0.495799,2.131225,1.31826891420036,0.059497868748623,4,8.8906,0.38122,3
ddmof_3433,0.289625,1.227579,1.3369472215909,0.036525843433075,4,12.70699,0.61372,3
ddmof_3434,0.717494,2.82358,1.43994479821125,0.113612192479431,2,14.04085,0.46702,3
ddmof_3435,0.577897,2.230101,1.46843110095313,0.096424179948065,4,7.03242,0.3238,3
